"Table S1: 
Reference genomes used in the current comparative analysis. Column A for species; column B with the species ID used in the manuscript and illustrations; column C for the species for which functional annotation (GO) was used; column E with the genome sizes; column F with the genome version used; column F with the link to the depository of the genomes used; column G with the publication references of the genomes used."						
Species	ID	Annotation 	Chromo. Size (Mb)	Genome Version	Data Source	Reference
Acorus tatarinowii	Ata		378	V1	https://ftp.cngb.org/	(Shi et al., 2022)
Aegilops tauschii	Aet		4024	Aet_MR_1.0	http://aegilops.wheat.ucdavis.edu/ATGSP/index.php	(Zimin et al., 2017)
Amborella trichopoda	Amt	x	672	V1.0	Phytozome	(AMBORELLA GENOME PROJECT et al., 2013)
Ananas comosus	Ac	x	315	V3	Phytozome	(Ming et al., 2015)
Arabidopsis halleri	Ah	x	121 (contigs) in 145.5 (scaffold)	V1.1	Phytozome	https://phytozome-next.jgi.doe.gov/info/Ahalleri_v1_1
Arabidopsis lyrata	Al	x	194	V1.0	Phytozome	(Hu et al., 2011)
Arabidopsis thaliana	At	x	119	TAIR10	Phytozome	(Lamesch et al., 2012)
Arachis duranensis	Ara		1040		https://peanutbase.org/home	(Bertioli et al., 2016)
Asparagus officinalis	Ao	x	1111	V1.1	Phytozome	(Harkess et al., 2017)
Brachypodium distachyon	Bd	x	271	V3.1	Phytozome	(Vogel et al., 2010)
Brassica juncea	Bju		775	V1.5	http://brassicadb.cn/#/	(Yang et al., 2016, 2018)
Brassica napus	Bn		866	V1	Genoscope	(Rousseau-Gueutin et al., 2020)
Brassica nigra	Bni		495	Ni100v2	http://cruciferseq.ca/	(Perumal et al., 2020)
Brassica oleracea	Bo		528	HDEM	Genoscope	(Belser et al., 2018)
Brassica rapa	Br		296	V3.0	http://brassicadb.cn/#/	(Zhang et al., 2018)
Buxus sinica	Bx		761	V1.0	https://genomevolution.org	(Chanderbali et al., 2022)
Cajanus cajan	Cca		247	V1.0	Plaza	(Varshney et al., 2012)
Capsella rubella	Cr	x	124	V1.0	Phytozome	(Slotte et al., 2013)
Capsicum annuum	Can		2648	V2.0	https://solgenomics.net/	(Qin et al., 2014)
Carica papaya	Cpa	x	299	ASGPBv0.4	Phytozome	(Ming et al., 2008)
